month,month_end_date,month_end_close
1927-12,1927-12-30,17.65999984741211
1928-01,1928-01-31,17.56999969482422
1928-02,1928-02-29,17.260000228881836
1928-03,1928-03-30,19.280000686645508
1928-04,1928-04-30,19.75
1928-05,1928-05-31,20.0
1928-06,1928-06-29,19.13999938964844
1928-07,1928-07-31,19.43000030517578
1928-08,1928-08-31,20.8700008392334
1928-09,1928-09-28,21.13999938964844
1928-10,1928-10-31,21.68000030517578
1928-11,1928-11-30,24.280000686645508
1928-12,1928-12-31,24.350000381469727
1929-01,1929-01-31,25.739999771118164
1929-02,1929-02-28,25.59000015258789
1929-03,1929-03-28,25.530000686645508
1929-04,1929-04-30,25.940000534057617
1929-05,1929-05-31,24.82999992370605
1929-06,1929-06-28,27.40999984741211
1929-07,1929-07-31,28.8799991607666
1929-08,1929-08-30,31.709999084472656
1929-09,1929-09-30,30.15999984741211
1929-10,1929-10-31,24.14999961853028
1929-11,1929-11-27,20.920000076293945
1929-12,1929-12-31,21.450000762939453
1930-01,1930-01-31,22.790000915527344
1930-02,1930-02-28,23.280000686645508
1930-03,1930-03-31,24.14999961853028
1930-04,1930-04-30,24.89999961853028
1930-05,1930-05-29,24.489999771118164
1930-06,1930-06-30,20.459999084472656
1930-07,1930-07-31,21.209999084472656
1930-08,1930-08-29,21.3700008392334
1930-09,1930-09-30,18.59000015258789
1930-10,1930-10-31,16.940000534057617
1930-11,1930-11-28,16.3799991607666
1930-12,1930-12-31,15.34000015258789
1931-01,1931-01-30,16.190000534057617
1931-02,1931-02-27,18.030000686645508
1931-03,1931-03-31,16.690000534057617
1931-04,1931-04-30,15.09000015258789
1931-05,1931-05-29,13.020000457763672
1931-06,1931-06-30,14.829999923706056
1931-07,1931-07-31,13.729999542236328
1931-08,1931-08-31,13.859999656677246
1931-09,1931-09-30,9.710000038146973
1931-10,1931-10-30,10.43000030517578
1931-11,1931-11-30,9.5
1931-12,1931-12-31,8.119999885559082
1932-01,1932-01-29,7.940000057220459
1932-02,1932-02-29,8.289999961853027
1932-03,1932-03-31,7.309999942779541
1932-04,1932-04-29,5.829999923706055
1932-05,1932-05-31,4.46999979019165
1932-06,1932-06-30,4.429999828338623
1932-07,1932-07-29,6.03000020980835
1932-08,1932-08-31,8.390000343322754
1932-09,1932-09-30,8.079999923706055
1932-10,1932-10-31,6.960000038146973
1932-11,1932-11-30,6.550000190734863
1932-12,1932-12-30,6.920000076293945
1933-01,1933-01-31,6.940000057220459
1933-02,1933-02-28,5.659999847412109
1933-03,1933-03-31,5.849999904632568
1933-04,1933-04-28,7.829999923706055
1933-05,1933-05-31,9.640000343322754
1933-06,1933-06-30,10.90999984741211
1933-07,1933-07-31,9.949999809265137
1933-08,1933-08-31,11.09000015258789
1933-09,1933-09-29,9.720000267028809
1933-10,1933-10-31,8.960000038146973
1933-11,1933-11-29,9.880000114440918
1933-12,1933-12-29,9.970000267028809
1934-01,1934-01-31,11.170000076293944
1934-02,1934-02-28,10.760000228881836
1934-03,1934-03-29,10.619999885559082
1934-04,1934-04-30,10.460000038146973
1934-05,1934-05-31,9.609999656677246
1934-06,1934-06-29,9.8100004196167
1934-07,1934-07-31,8.680000305175781
1934-08,1934-08-31,9.149999618530272
1934-09,1934-09-28,9.079999923706056
1934-10,1934-10-31,8.8100004196167
1934-11,1934-11-30,9.539999961853027
1934-12,1934-12-31,9.5
1935-01,1935-01-31,9.100000381469728
1935-02,1935-02-28,8.739999771118164
1935-03,1935-03-29,8.449999809265137
1935-04,1935-04-30,9.279999732971191
